Datum,Vodostaj [cm],Temperatura vode [Â°C]
03.08.2023 00:00,280,27.1
02.08.2023 23:30,287,-
02.08.2023 23:00,292,27.2
02.08.2023 22:30,292,27.2
02.08.2023 22:00,289,27.2
02.08.2023 21:30,286,27.1
02.08.2023 21:00,278,27.1
02.08.2023 20:30,269,27.1
02.08.2023 20:00,259,27.1
02.08.2023 19:30,249,27.0
02.08.2023 19:00,242,27.0
02.08.2023 18:30,235,27.1
02.08.2023 18:00,230,27.1
02.08.2023 17:30,225,27.1
02.08.2023 17:00,222,27.1
02.08.2023 16:30,223,27.1
02.08.2023 16:00,229,27.1
02.08.2023 15:30,236,27.0
02.08.2023 15:00,242,27.0
02.08.2023 14:30,248,26.9
02.08.2023 14:00,256,26.8
02.08.2023 13:30,263,26.8
02.08.2023 13:00,269,26.8
02.08.2023 12:30,274,26.5
02.08.2023 12:00,278,26.3
02.08.2023 11:30,279,26.1
02.08.2023 11:00,275,26.0
02.08.2023 10:30,269,26.1
02.08.2023 10:00,259,26.1
02.08.2023 09:30,246,26.1
02.08.2023 09:00,236,26.3
02.08.2023 08:30,224,26.4
02.08.2023 08:00,214,26.7
02.08.2023 07:30,200,26.6
02.08.2023 07:00,189,26.6
02.08.2023 06:30,176,26.7
02.08.2023 06:00,173,26.8
02.08.2023 05:30,166,26.8
02.08.2023 05:00,162,26.8
02.08.2023 04:30,158,26.9
02.08.2023 04:00,163,26.9
02.08.2023 03:30,169,26.9
02.08.2023 03:00,182,26.9
02.08.2023 02:30,195,26.9
02.08.2023 02:00,210,26.9
02.08.2023 01:30,224,26.9
02.08.2023 01:00,240,26.9
02.08.2023 00:30,253,26.9
02.08.2023 00:00,265,26.9
01.08.2023 23:30,278,26.9
01.08.2023 23:00,280,26.9
01.08.2023 22:30,290,26.8
01.08.2023 22:00,285,26.9
01.08.2023 21:30,307,26.9
01.08.2023 21:00,291,27.0
01.08.2023 20:30,290,27.1
01.08.2023 20:00,279,27.1
01.08.2023 19:30,270,27.1
01.08.2023 19:00,260,27.1
01.08.2023 18:30,250,27.1
01.08.2023 18:00,240,27.1
01.08.2023 17:30,232,27.1
01.08.2023 17:00,227,27.1
01.08.2023 16:30,224,27.1
01.08.2023 16:00,224,27.1
01.08.2023 15:30,229,27.0
01.08.2023 15:00,234,26.9
01.08.2023 14:30,241,26.8
01.08.2023 14:00,249,26.7
01.08.2023 13:30,257,26.7
01.08.2023 13:00,264,26.7
01.08.2023 12:30,270,26.7
01.08.2023 12:00,275,26.6
01.08.2023 11:30,277,26.6
01.08.2023 11:00,277,26.6
01.08.2023 10:30,273,26.6
01.08.2023 10:00,267,26.7
01.08.2023 09:30,260,26.7
01.08.2023 09:00,250,26.7
01.08.2023 08:30,239,26.7
01.08.2023 08:00,227,26.7
01.08.2023 07:30,214,26.7
01.08.2023 07:00,201,26.8
01.08.2023 06:30,190,26.8
01.08.2023 06:00,179,26.8
01.08.2023 05:30,171,26.9
01.08.2023 05:00,164,26.9
01.08.2023 04:30,161,26.9
01.08.2023 04:00,161,26.9
01.08.2023 03:30,166,26.9
01.08.2023 03:00,172,26.9
01.08.2023 02:30,182,26.9
01.08.2023 02:00,194,26.9
01.08.2023 01:30,207,26.9
01.08.2023 01:00,219,26.9
01.08.2023 00:30,232,27.0
01.08.2023 00:00,246,27.0
31.07.2023 23:30,258,27.0
31.07.2023 23:00,269,27.1
31.07.2023 22:30,276,27.1
31.07.2023 22:00,280,27.1
31.07.2023 21:30,280,27.2
31.07.2023 21:00,279,27.3
31.07.2023 20:30,275,27.3
31.07.2023 20:00,269,27.3
31.07.2023 19:30,264,27.3
31.07.2023 19:00,258,27.3
31.07.2023 18:30,249,27.3
31.07.2023 18:00,240,27.3
31.07.2023 17:30,232,27.3
31.07.2023 17:00,227,27.3
31.07.2023 16:30,222,27.2
31.07.2023 16:00,219,27.1
31.07.2023 15:30,219,27.0
31.07.2023 15:00,223,26.9
31.07.2023 14:30,224,26.9
31.07.2023 14:00,227,26.8
31.07.2023 13:30,230,26.8
31.07.2023 13:00,237,26.7
31.07.2023 12:30,245,26.6
31.07.2023 12:00,250,26.5
31.07.2023 11:30,255,26.5
31.07.2023 11:00,259,26.5
31.07.2023 10:30,261,26.4
31.07.2023 10:00,260,26.4
31.07.2023 09:30,256,26.4
31.07.2023 09:00,250,26.4
31.07.2023 08:30,244,26.4
31.07.2023 08:00,236,26.4
31.07.2023 07:30,226,26.5
31.07.2023 07:00,214,26.5
31.07.2023 06:30,202,26.5
31.07.2023 06:00,189,26.5
31.07.2023 05:30,180,26.5
31.07.2023 05:00,171,26.5
31.07.2023 04:30,168,26.5
31.07.2023 04:00,166,26.5
31.07.2023 03:30,168,26.7
31.07.2023 03:00,171,26.6
